epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.362,1.44366,1.59625,1.33303,0.92033,0.82195,0.90781,0.5522,1.33167,0.93204,1.23337,0.000549352,0.000549352,0.000549352
2,69.5256,1.20803,0.81904,1.20778,0.79434,0.54791,0.62169,0.38413,1.43413,1.55947,1.33381,0.00109408,0.00109408,0.00109408
3,101.352,1.221,0.78835,1.23434,0.96603,0.94824,0.97899,0.56896,1.48763,0.7345,1.30751,0.0016278,0.0016278,0.0016278
4,133.953,1.18531,0.73625,1.21111,0.92445,0.91997,0.96981,0.63694,1.15105,1.05345,1.1413,0.00161749,0.00161749,0.00161749
5,165.909,1.13743,0.70316,1.18241,0.97767,0.98106,0.99044,0.65009,1.17198,0.74743,1.13007,0.00160099,0.00160099,0.00160099
6,198.516,1.08592,0.65934,1.16419,0.98753,0.9848,0.99353,0.68379,1.11146,0.54399,1.11407,0.00158448,0.00158448,0.00158448
7,230.149,1.10544,0.64624,1.17723,0.99226,0.98492,0.99446,0.66117,1.1356,0.53312,1.12303,0.00156798,0.00156798,0.00156798
8,262.07,1.05372,0.62422,1.14594,0.98357,0.96871,0.99273,0.71672,0.9798,0.52413,1.04203,0.00155148,0.00155148,0.00155148
9,294.489,1.00824,0.58877,1.11537,0.98516,0.98597,0.99413,0.72813,0.93751,0.48705,1.02996,0.00153497,0.00153497,0.00153497
10,326.802,1.03199,0.58487,1.13537,0.98541,0.96107,0.98998,0.71604,0.96409,0.50556,1.03729,0.00151847,0.00151847,0.00151847
11,359.791,0.99334,0.5686,1.11282,0.9819,0.98744,0.99327,0.76863,0.85145,0.46897,1.00553,0.00150197,0.00150197,0.00150197
12,391.993,0.98926,0.55212,1.10723,0.99598,0.98995,0.99485,0.75971,0.88642,0.45146,1.0029,0.00148546,0.00148546,0.00148546
13,424.736,0.97606,0.56618,1.10342,0.99063,0.98619,0.99444,0.77994,0.8125,0.43952,0.97647,0.00146896,0.00146896,0.00146896
14,457.414,0.937,0.53017,1.08716,0.98748,0.9919,0.99476,0.68895,1.10405,0.47605,1.09738,0.00145246,0.00145246,0.00145246
15,490.107,0.94612,0.53173,1.0913,0.99748,0.99618,0.99499,0.77572,0.83051,0.40432,0.98213,0.00143595,0.00143595,0.00143595
16,523.157,0.93069,0.5202,1.0815,0.99139,0.99198,0.99481,0.75969,0.87241,0.43062,1.00046,0.00141945,0.00141945,0.00141945
17,555.302,0.9137,0.51232,1.08185,0.99418,0.99237,0.99487,0.76744,0.85323,0.4097,0.98602,0.00140295,0.00140295,0.00140295
18,588.164,0.90428,0.50578,1.07445,0.99346,0.99181,0.9948,0.76889,0.83201,0.42152,0.98199,0.00138644,0.00138644,0.00138644
19,619.897,0.91068,0.50933,1.07664,0.99806,0.99462,0.99497,0.78227,0.8144,0.39849,0.97371,0.00136994,0.00136994,0.00136994
20,652.955,0.91348,0.49181,1.07824,0.99731,0.99246,0.99494,0.77518,0.828,0.41342,0.97105,0.00135344,0.00135344,0.00135344
21,684.917,0.89693,0.48505,1.06717,0.99494,0.99246,0.99491,0.80131,0.75374,0.38574,0.95072,0.00133693,0.00133693,0.00133693
22,717.217,0.87261,0.47117,1.04647,0.99576,0.99365,0.99478,0.78362,0.80366,0.39119,0.96464,0.00132043,0.00132043,0.00132043
23,749.617,0.86536,0.46947,1.05049,0.99267,0.99623,0.99482,0.78695,0.78744,0.38567,0.96097,0.00130393,0.00130393,0.00130393
24,781.068,0.851,0.4671,1.05113,0.99766,0.98463,0.99491,0.81021,0.72787,0.38055,0.93498,0.00128742,0.00128742,0.00128742
25,813.826,0.84281,0.46953,1.04018,0.99774,0.99498,0.995,0.8065,0.7167,0.36842,0.92864,0.00127092,0.00127092,0.00127092
26,845.566,0.8444,0.46187,1.04699,0.99498,0.99495,0.99487,0.7618,0.87673,0.39205,0.9813,0.00125442,0.00125442,0.00125442
27,877.097,0.82914,0.45328,1.03904,0.99575,0.99573,0.9949,0.7692,0.82444,0.37055,0.97466,0.00123791,0.00123791,0.00123791
28,909.687,0.80877,0.44739,1.02938,0.99656,0.99483,0.99495,0.81218,0.72326,0.3603,0.94059,0.00122141,0.00122141,0.00122141
29,941.116,0.81021,0.43186,1.02397,0.99933,0.99749,0.995,0.7931,0.77674,0.37475,0.95397,0.00120491,0.00120491,0.00120491
30,973.288,0.81434,0.43659,1.02329,0.99533,0.99723,0.99496,0.82378,0.68218,0.35101,0.92011,0.0011884,0.0011884,0.0011884
31,1005.35,0.8235,0.4419,1.03186,0.995,0.99509,0.99489,0.80535,0.732,0.3636,0.94122,0.0011719,0.0011719,0.0011719
32,1037.08,0.79933,0.42795,1.01972,0.99794,0.99599,0.99499,0.80953,0.73224,0.35478,0.9304,0.0011554,0.0011554,0.0011554
33,1069.87,0.79276,0.42382,1.0186,0.99863,0.99874,0.995,0.81645,0.70236,0.34469,0.9266,0.00113889,0.00113889,0.00113889
34,1101.52,0.79704,0.42685,1.01635,0.99687,0.99989,0.99499,0.81409,0.71771,0.34101,0.92304,0.00112239,0.00112239,0.00112239
35,1134.08,0.77804,0.41925,1.01117,0.99562,0.99874,0.99495,0.81971,0.70065,0.3352,0.92262,0.00110589,0.00110589,0.00110589
36,1166.43,0.77543,0.41304,1.01164,0.99936,1,0.995,0.8148,0.7,0.33935,0.91916,0.00108938,0.00108938,0.00108938
37,1198,0.77727,0.4196,1.00787,0.99623,0.99815,0.99499,0.82831,0.66674,0.33546,0.91048,0.00107288,0.00107288,0.00107288
38,1231.18,0.77016,0.40927,1.00699,0.99283,0.9984,0.99494,0.82394,0.69827,0.34134,0.92104,0.00105638,0.00105638,0.00105638
39,1263.45,0.76476,0.40458,1.01047,0.99898,0.99749,0.995,0.81724,0.70743,0.33796,0.92559,0.00103987,0.00103987,0.00103987
40,1296.53,0.75873,0.39938,1.00555,0.99725,0.99497,0.99497,0.81826,0.7006,0.34181,0.92461,0.00102337,0.00102337,0.00102337
41,1328.7,0.76169,0.39763,1.0028,0.99568,0.99854,0.99499,0.83254,0.65815,0.33999,0.90648,0.00100687,0.00100687,0.00100687
42,1361.44,0.77247,0.40386,1.00176,0.99874,0.99894,0.995,0.8287,0.65853,0.32246,0.90358,0.000990365,0.000990365,0.000990365
43,1393.78,0.75449,0.40296,0.99973,0.99549,1,0.99497,0.8389,0.64399,0.33408,0.8957,0.000973861,0.000973861,0.000973861
44,1425.74,0.75866,0.40091,1.0069,0.99885,0.99978,0.995,0.82052,0.70409,0.33851,0.92189,0.000957358,0.000957358,0.000957358
45,1458.95,0.74941,0.39559,0.99342,0.99473,0.99874,0.99494,0.80895,0.73575,0.33667,0.9405,0.000940855,0.000940855,0.000940855
46,1490.89,0.76214,0.39934,0.99942,0.99953,0.99974,0.995,0.82036,0.70963,0.32407,0.92112,0.000924352,0.000924352,0.000924352
47,1523.37,0.74693,0.38953,1.00196,0.99775,0.99702,0.99491,0.83471,0.65844,0.31984,0.90398,0.000907848,0.000907848,0.000907848
48,1555.31,0.72868,0.38288,0.99237,0.99563,0.99676,0.99499,0.82499,0.67838,0.32878,0.91575,0.000891345,0.000891345,0.000891345
49,1587.05,0.72742,0.38717,0.9849,0.99664,1,0.995,0.82655,0.66138,0.32088,0.90724,0.000874842,0.000874842,0.000874842
50,1619.6,0.73039,0.38283,0.99165,0.99694,0.99853,0.995,0.84089,0.63734,0.31,0.89758,0.000858338,0.000858338,0.000858338
51,1651.46,0.72414,0.38134,0.98422,0.99916,0.99874,0.995,0.81711,0.6978,0.32716,0.92004,0.000841835,0.000841835,0.000841835
52,1684.04,0.72748,0.38308,0.98842,0.99578,1,0.99499,0.84492,0.63093,0.30565,0.89545,0.000825332,0.000825332,0.000825332
53,1716.34,0.71323,0.37338,0.98496,0.99679,1,0.99497,0.83686,0.64145,0.31218,0.8871,0.000808828,0.000808828,0.000808828
54,1748.33,0.71057,0.37168,0.97648,0.99918,0.99947,0.995,0.85236,0.59437,0.30388,0.87836,0.000792325,0.000792325,0.000792325
55,1781.22,0.70872,0.37539,0.98067,0.99856,0.99875,0.995,0.85306,0.6075,0.29415,0.89004,0.000775822,0.000775822,0.000775822
56,1813.26,0.69222,0.36362,0.97195,0.99923,1,0.995,0.83371,0.64259,0.29659,0.89742,0.000759318,0.000759318,0.000759318
57,1845.79,0.69783,0.36283,0.97524,0.99943,0.99978,0.995,0.84125,0.62955,0.30309,0.88966,0.000742815,0.000742815,0.000742815
58,1878.31,0.70491,0.36101,0.97479,0.99814,0.99727,0.99499,0.84403,0.62362,0.29716,0.8915,0.000726312,0.000726312,0.000726312
59,1912.53,0.69674,0.36071,0.97399,0.99955,0.99874,0.995,0.84886,0.61617,0.28944,0.89138,0.000709809,0.000709809,0.000709809
60,1945.3,0.69965,0.36113,0.96766,0.99836,1,0.995,0.83933,0.64146,0.29684,0.89689,0.000693305,0.000693305,0.000693305
61,1978.36,0.70686,0.36653,0.9834,0.99887,1,0.995,0.84799,0.62448,0.29246,0.89162,0.000676802,0.000676802,0.000676802
62,2010.56,0.6884,0.35571,0.96539,0.9992,1,0.995,0.84547,0.61269,0.28999,0.89029,0.000660299,0.000660299,0.000660299
63,2042.42,0.6847,0.35061,0.97085,0.99919,1,0.995,0.84945,0.60341,0.28443,0.88574,0.000643795,0.000643795,0.000643795
64,2075.65,0.67814,0.35376,0.96384,0.99941,1,0.995,0.85006,0.59979,0.28684,0.88049,0.000627292,0.000627292,0.000627292
65,2107.5,0.67337,0.34617,0.95982,0.99931,1,0.995,0.8522,0.59864,0.28627,0.88168,0.000610789,0.000610789,0.000610789
